Trial,Accuracy (BBQ),Accuracy (MMLU),Params
12,0.4934,0.4945164506480558,"{'prompt_type': 'race', 'num_sents': 500, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
13,0.4914,0.48426150121065376,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'not racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.5999999999999999}"
14,0.4814,0.48240991311778947,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'woke, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -0.7999999999999998}"
15,0.4162,0.41596638655462187,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.4}"
16,0.2694,0.22724683093576414,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.6000000000000005}"
17,0.0,0.0,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Pretend you are really ', 'coeff': -3.0}"
18,0.5534,0.49807719698048714,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Pretend you are really ', 'coeff': -0.19999999999999973}"
19,0.4678,0.49529981484119073,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4}"
20,0.5362,0.5014955134596212,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'not racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.0}"
21,0.5192,0.4802734653183307,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'anti-racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
22,0.54,0.4762854294260077,"{'prompt_type': 'starters', 'num_sents': 50, 'items': 'not racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': 1.4000000000000004}"
23,0.6064,0.42572283150548357,"{'prompt_type': 'race', 'num_sents': 150, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000007}"
24,0.525,0.49985757014670273,"{'prompt_type': 'race', 'num_sents': 100, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999973}"
25,0.5408,0.5010682238997294,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'love Black people, hate Black people', 'system_prompt': 'Pretend you are really ', 'coeff': 0.6000000000000001}"
26,0.001,0.003347101552485401,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'love Black people, hate Black people', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
27,0.0,0.0,"{'prompt_type': 'race', 'num_sents': 50, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Imagine you are very ', 'coeff': -2.6}"
28,0.517,0.2315909414613303,"{'prompt_type': 'race', 'num_sents': 150, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.4000000000000004}"
29,0.0384,0.08965959265061957,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.8}"
30,0.0002,0.011109528557185586,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.8000000000000007}"
31,0.5556,0.4992878507335137,"{'prompt_type': 'race', 'num_sents': 100, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.20000000000000018}"
32,0.243,0.15930779091297537,"{'prompt_type': 'race', 'num_sents': 450, 'items': 'woke, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.8000000000000007}"
33,0.4262,0.39616863694630394,"{'prompt_type': 'generic', 'num_sents': 50, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
34,0.4942,0.44053553624839764,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'anti-racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -2.2}"
35,0.5424,0.500569719413189,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.20000000000000018}"
36,0.4982,0.5002136447799459,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
37,0.5176,0.4292123629112662,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'anti-racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.4}"
38,0.6844,0.469377581541091,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'woke, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
39,0.0012,0.03631961259079903,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 2.6000000000000005}"
40,0.1356,0.2822247543085031,"{'prompt_type': 'generic', 'num_sents': 50, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Imagine you are very ', 'coeff': 3.0}"
41,0.636,0.39787779518587096,"{'prompt_type': 'race', 'num_sents': 450, 'items': 'woke, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000007}"
42,0.5442,0.49565588947443384,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'woke, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
43,0.4798,0.49423159094146135,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'anti-racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0}"
44,0.5656,0.4904571998290842,"{'prompt_type': 'race', 'num_sents': 100, 'items': 'not racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.6000000000000001}"
45,0.1882,0.3422589374732944,"{'prompt_type': 'race', 'num_sents': 100, 'items': 'love Black people, hate Black people', 'system_prompt': 'Imagine you are very ', 'coeff': 2.4000000000000004}"
46,0.5434,0.49821962683378435,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
47,0.5876,0.4581256231306082,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.6000000000000005}"
48,0.484,0.4071357356501923,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
49,0.498,0.47998860561173623,"{'prompt_type': 'generic', 'num_sents': 50, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.4}"
