Trial,Accuracy (BBQ),Params
40,0.2938,"{'prompt_type': 'gender', 'num_sents': 200, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': 0.20000000000000018}"
41,0.3436,"{'prompt_type': 'race', 'num_sents': 300, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
42,0.344,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
43,0.2848,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
44,0.338,"{'prompt_type': 'race', 'num_sents': 450, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6}"
45,0.3622,"{'prompt_type': 'socioeconomic', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
46,0.3284,"{'prompt_type': 'socioeconomic', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002}"
47,0.292,"{'prompt_type': 'socioeconomic', 'num_sents': 250, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0}"
48,0.3366,"{'prompt_type': 'socioeconomic', 'num_sents': 200, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
49,0.3012,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4}"
8,0.3648,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6}"
