Trial,Accuracy (BBQ),Accuracy (MMLU),Params
19,0.487,0.5139318885448917,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -9}"
20,0.507,0.5098039215686274,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'woke, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -10}"
21,0.537,0.5036119711042312,"{'prompt_type': 'generic', 'num_sents': 450, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0, 'control_method': 'pca_center', 'start_layer': -2, 'end_layer': -9}"
22,0.537,0.49226006191950467,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'love Black people, hate Black people', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0, 'control_method': 'pca_diff', 'start_layer': -3, 'end_layer': -12}"
23,0.509,0.5139318885448917,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'anti-racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -6}"
24,0.496,0.46852425180598556,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'woke, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.6, 'control_method': 'pca_diff', 'start_layer': -1, 'end_layer': -18}"
25,0.485,0.5128998968008256,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Imagine you are very ', 'coeff': -1.4, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -9}"
26,0.505,0.5149638802889577,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.0, 'control_method': 'pca_diff', 'start_layer': -3, 'end_layer': -6}"
27,0.505,0.5180598555211559,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'anti-racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -10}"
28,0.492,0.5118679050567595,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'woke, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0, 'control_method': 'pca_diff', 'start_layer': -2, 'end_layer': -11}"
29,0.508,0.5180598555211559,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -0.7999999999999998, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -8}"
30,0.505,0.5159958720330238,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -7}"
31,0.484,0.5149638802889577,"{'prompt_type': 'generic', 'num_sents': 100, 'items': 'anti-racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 1.4000000000000004, 'control_method': 'pca_diff', 'start_layer': -3, 'end_layer': -13}"
32,0.501,0.5149638802889577,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Pretend you are really ', 'coeff': -1.0, 'control_method': 'pca_diff', 'start_layer': -3, 'end_layer': -7}"
33,0.505,0.5149638802889577,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.0, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -10}"
34,0.481,0.5149638802889577,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.7999999999999998, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -14}"
35,0.502,0.5180598555211559,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -9}"
36,0.039,0.17234262125902994,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0, 'control_method': 'pca_center', 'start_layer': -4, 'end_layer': -17}"
37,0.501,0.5190918472652218,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'not racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -0.5999999999999999, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -10}"
38,0.509,0.5139318885448917,"{'prompt_type': 'race', 'num_sents': 150, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -17}"
39,0.515,0.5046439628482973,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'not racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -0.3999999999999999, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -16}"
40,0.506,0.5159958720330238,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Imagine you are very ', 'coeff': 0.40000000000000036, 'control_method': 'pca_diff', 'start_layer': -2, 'end_layer': -14}"
41,0.503,0.5077399380804953,"{'prompt_type': 'race', 'num_sents': 150, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003, 'control_method': 'pca_diff', 'start_layer': -2, 'end_layer': -15}"
42,0.537,0.4809081527347781,"{'prompt_type': 'race', 'num_sents': 450, 'items': 'woke, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003, 'control_method': 'pca_center', 'start_layer': -4, 'end_layer': -16}"
43,0.495,0.5087719298245614,"{'prompt_type': 'generic', 'num_sents': 100, 'items': 'anti-racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6, 'control_method': 'pca_diff', 'start_layer': -4, 'end_layer': -14}"
44,0.501,0.5170278637770898,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'love Black people, hate Black people', 'system_prompt': 'Pretend you are really ', 'coeff': 0.6000000000000001, 'control_method': 'pca_diff', 'start_layer': -4, 'end_layer': -14}"
45,0.514,0.5046439628482973,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Pretend you are really ', 'coeff': 1.8000000000000003, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -7}"
46,0.507,0.5139318885448917,"{'prompt_type': 'starters', 'num_sents': 400, 'items': 'anti-racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.19999999999999996, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -13}"
47,0.512,0.5046439628482973,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Pretend you are really ', 'coeff': 0.6000000000000001, 'control_method': 'pca_center', 'start_layer': -2, 'end_layer': -11}"
48,0.639,0.4716202270381837,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'love Black people, hate Black people', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.2000000000000002, 'control_method': 'pca_diff', 'start_layer': -4, 'end_layer': -17}"
49,0.077,0.16821465428276575,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'not racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': 1.2000000000000002, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -18}"
50,0.499,0.5149638802889577,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -9}"
51,0.437,0.4891640866873065,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'woke, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.8, 'control_method': 'pca_center', 'start_layer': -4, 'end_layer': -16}"
52,0.534,0.48297213622291024,"{'prompt_type': 'race', 'num_sents': 150, 'items': 'woke, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -15}"
53,0.496,0.5077399380804953,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -0.7999999999999998, 'control_method': 'pca_diff', 'start_layer': -3, 'end_layer': -8}"
54,0.476,0.5263157894736842,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'love Black people, hate Black people', 'system_prompt': 'Imagine you are very ', 'coeff': -0.5999999999999999, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -15}"
55,0.496,0.5108359133126935,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'not racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -0.5999999999999999, 'control_method': 'pca_diff', 'start_layer': -1, 'end_layer': -16}"
56,0.505,0.5149638802889577,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'love Black people, hate Black people', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -10}"
57,0.502,0.5180598555211559,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -10}"
58,0.488,0.5180598555211559,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Imagine you are very ', 'coeff': -2.0, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -9}"
59,0.508,0.5170278637770898,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'anti-racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -6}"
60,0.492,0.5201238390092879,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.5999999999999999, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -9}"
61,0.508,0.5087719298245614,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -7}"
62,0.505,0.5149638802889577,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.0, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -15}"
63,0.502,0.5201238390092879,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'not racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -0.5999999999999999, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -10}"
64,0.548,0.48813209494324045,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -14}"
65,0.503,0.5159958720330238,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.40000000000000036, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -8}"
66,0.481,0.5242518059855521,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'love Black people, hate Black people', 'system_prompt': 'Imagine you are very ', 'coeff': -0.5999999999999999, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -15}"
67,0.492,0.5149638802889577,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998, 'control_method': 'pca_diff', 'start_layer': -1, 'end_layer': -9}"
68,0.497,0.5211558307533539,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -0.7999999999999998, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -10}"
69,0.528,0.5036119711042312,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'love Black people, hate Black people', 'system_prompt': 'Pretend you are really ', 'coeff': 0.6000000000000001, 'control_method': 'pca_diff', 'start_layer': -4, 'end_layer': -14}"
70,0.506,0.5149638802889577,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Imagine you are very ', 'coeff': 0.40000000000000036, 'control_method': 'pca_diff', 'start_layer': -4, 'end_layer': -14}"
71,0.509,0.5067079463364293,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Pretend you are really ', 'coeff': -0.3999999999999999, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -17}"
72,0.51,0.5170278637770898,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'not racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001, 'control_method': 'pca_diff', 'start_layer': -2, 'end_layer': -16}"
73,0.487,0.5139318885448917,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.5999999999999999, 'control_method': 'pca_center', 'start_layer': -2, 'end_layer': -15}"
74,0.432,0.44169246646026833,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'anti-racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -16}"
75,0.501,0.5139318885448917,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -12}"
76,0.515,0.5036119711042312,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'not racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': 1.2000000000000002, 'control_method': 'pca_diff', 'start_layer': -2, 'end_layer': -14}"
77,0.505,0.5149638802889577,"{'prompt_type': 'race', 'num_sents': 450, 'items': 'woke, racist', 'system_prompt': 'Pretend you are really ', 'coeff': 0.0, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -14}"
78,0.518,0.5056759545923633,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'love Black people, hate Black people', 'system_prompt': 'Imagine you are very ', 'coeff': 0.6000000000000001, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -8}"
79,0.0,0.01238390092879257,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Imagine you are very ', 'coeff': -1.8, 'control_method': 'pca_diff', 'start_layer': -2, 'end_layer': -18}"
80,0.514,0.49742002063983487,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'love Black people, hate Black people', 'system_prompt': 'Imagine you are very ', 'coeff': -0.7999999999999998, 'control_method': 'pca_diff', 'start_layer': -3, 'end_layer': -12}"
81,0.494,0.52218782249742,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'not racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': -0.7999999999999998, 'control_method': 'pca_center', 'start_layer': -2, 'end_layer': -11}"
82,0.509,0.5067079463364293,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -8}"
83,0.507,0.5087719298245614,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Imagine you are very ', 'coeff': 0.40000000000000036, 'control_method': 'pca_center', 'start_layer': -2, 'end_layer': -11}"
84,0.506,0.5087719298245614,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'anti-racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.4, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -6}"
85,0.503,0.5159958720330238,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'not racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -6}"
86,0.503,0.5159958720330238,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'anti-racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -7}"
87,0.502,0.5201238390092879,"{'prompt_type': 'generic', 'num_sents': 150, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.4, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -8}"
88,0.506,0.5159958720330238,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'love Black people, hate Black people', 'system_prompt': 'Pretend you are really ', 'coeff': 0.6000000000000001, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -7}"
89,0.494,0.5098039215686274,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.7999999999999998, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -14}"
90,0.533,0.49638802889576883,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'love Black people, hate Black people', 'system_prompt': 'Imagine you are very ', 'coeff': 1.6, 'control_method': 'pca_center', 'start_layer': -5, 'end_layer': -8}"
91,0.505,0.5149638802889577,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'not racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.0, 'control_method': 'pca_diff', 'start_layer': -3, 'end_layer': -6}"
92,0.523,0.48194014447884415,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003, 'control_method': 'pca_center', 'start_layer': -3, 'end_layer': -14}"
93,0.504,0.5108359133126935,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.40000000000000036, 'control_method': 'pca_diff', 'start_layer': -4, 'end_layer': -9}"
94,0.51,0.5098039215686274,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'not racist, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -6}"
95,0.505,0.5149638802889577,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'woke, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.0, 'control_method': 'pca_diff', 'start_layer': -5, 'end_layer': -6}"
96,0.383,0.44478844169246645,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'love Black people, hate Black people', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -17}"
97,0.54,0.4953560371517028,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'woke, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0, 'control_method': 'pca_center', 'start_layer': -2, 'end_layer': -10}"
98,0.495,0.5108359133126935,"{'prompt_type': 'generic', 'num_sents': 450, 'items': 'racially tolerant, racially intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4, 'control_method': 'pca_center', 'start_layer': -2, 'end_layer': -14}"
99,0.498,0.5190918472652218,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'woke, racist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.6, 'control_method': 'pca_center', 'start_layer': -1, 'end_layer': -8}"
